1.336465891877785772e+01,2.647629705499217074e-03,7.866345539797663447e-03,1.516643489480756451e-05,3.508506945837120277e-08,5.265606555981527158e-07,4.904425549468965864e-08,1.032709319362571016e-08,1.584932046056967309e-08,7.477489668688582038e-09,4.304161772796010656e-10,1.338201487012833502e-07,3.153587190603928451e-09,1.768616265963207645e-02
5.835568233009849948e+00,2.404025374432762095e-04,4.533590001999950742e-02,1.844962896069323924e-05,9.091261606172326262e-08,3.901129709040105948e-07,2.441718305951575258e-08,2.210369257045010938e-08,1.369865993861875155e-08,3.414267052968475694e-09,3.595094453966954330e-09,1.025891134324003067e-07,4.179414768986544202e-09,1.867496995039161223e-02
8.050707750929461781e+00,8.535211660682686090e-06,3.653781234124402894e-02,3.711604960197820689e-05,6.538624126358829011e-09,4.297312718318676450e-07,2.573100653778394710e-09,5.730435102113280784e-08,5.656439564299632365e-09,3.988972426788271092e-09,1.669198068042058393e-09,4.983062952195436344e-08,1.009924662700269319e-08,2.658597011180579769e-02
3.369233176256053675e+00,4.105245569511860836e-03,9.852430639703593784e-02,1.620575670391704708e-06,1.586716463196876243e-08,9.034866482174960009e-07,6.044521059915160443e-08,3.605892443632453269e-08,2.708979934774662215e-08,3.327553530878394942e-10,3.431998535308550286e-09,1.297726326286340766e-08,4.935254991915465325e-09,1.113958524251328725e-03
9.445702559866145265e+00,1.053407519505966694e-04,4.140754636208824474e-02,4.100981700061487962e-05,1.796058177444513198e-08,1.908492241917896824e-07,2.790612060060410053e-08,2.484201095662556224e-08,1.867743777427145994e-09,8.476907356414591909e-10,2.193159465120977955e-09,1.000511932417503887e-07,5.269195559621269601e-09,2.052149242174990118e-02
1.144613658903283593e+01,3.421259163426394983e-04,2.056446247645677891e-02,1.739909600438217227e-05,1.620665091473766888e-08,7.687140279290063632e-07,1.586911676291247996e-07,2.637247957254801971e-09,2.018562882840473077e-08,1.152233523897463522e-09,1.164242654534385040e-09,1.518336822221615479e-08,3.689584764370155545e-10,1.178164520825247883e-04
2.032971430524813883e+01,1.320931419171803619e-03,1.803213366281287283e-02,1.738782550024148185e-05,9.446190209242029852e-08,7.406895025329087577e-07,1.327264863145370123e-08,2.233604855833440754e-08,1.187958605264747003e-09,7.266786266007812970e-09,8.664283167995710403e-11,2.799617036108826535e-08,5.232600604137599289e-09,4.978022476322732908e-04
1.967027042591504227e+01,1.513267632846528651e-03,4.475128834858822791e-02,2.261994959377321557e-06,4.923404650058385645e-08,3.276497159628203106e-07,3.290840527951561106e-08,8.199089266158307213e-09,1.203963759847799022e-08,1.239498152291521432e-08,1.724992294143325842e-10,2.439772368473432631e-08,3.662161691808314817e-09,2.615264239428387663e-02
1.926660694361063619e+01,2.970815308375036575e-04,4.820710118946250344e-02,5.089709882988350365e-05,5.316454075294252789e-08,4.676503438652882631e-07,6.194116344702545709e-09,1.959375917659965203e-08,2.659391927394258865e-08,1.435779761067531738e-09,1.216162507038248260e-09,4.762656934388535629e-08,1.026765145146289399e-08,2.307730354634382822e-02
8.177897286907846564e+00,6.269641931172097171e-03,3.050556203585876730e-02,1.582220733756091341e-05,6.146266191534825912e-08,6.655406058802919476e-07,3.703717531183590968e-08,2.457941263313302427e-08,1.045950993048674730e-08,3.720859981097584533e-09,1.020196737114925553e-09,5.449671646119915331e-08,5.338563574260268219e-09,1.453617501969415790e-02
