1.224091636641125806e-06,3.892771934837173660e-08,2.686984812420774961e-08,3.227703795246998757e-08,1.151653633223259920e-01
7.940074915735852001e-07,1.337894607700257233e-07,1.851861028408768383e-08,4.138230976699251809e-08,3.534779423448696639e-02
1.815901447519254605e-06,1.010328709314240115e-07,1.612150098264881475e-08,9.735051588548212880e-09,1.506750856015096063e-01
1.269421619267866378e-06,2.358678045588878584e-07,3.946556899409690736e-10,3.677962552308317697e-08,4.721660813922542999e-03
6.026484166134094395e-07,1.336958103317556943e-08,3.664014045235210310e-08,1.797527482693551743e-08,1.607257828456730431e-01
4.634249674663807033e-07,4.842225242373188074e-08,1.588731191105188117e-08,4.450822852276408883e-08,3.765174544009906171e-02
9.613732577177334683e-07,3.256074096504910749e-08,1.806557405158794704e-08,3.308447448935417331e-08,1.938859476398890197e-02
7.198981410575004219e-07,1.064818019993788568e-07,1.229107641453594089e-08,2.883600428817396817e-08,1.189271686789191290e-01
1.627880249398484049e-07,5.906461437477195184e-09,9.936590257874038945e-09,4.924333286658057467e-08,1.893582634532748610e-01
1.900937205134870674e-07,4.805251387197640442e-07,4.794620707771671168e-09,9.230894800914927557e-09,2.208985808546764726e-02
6.829030632146898716e-07,2.485079545952767917e-07,6.240468538112303293e-09,3.666414910582270581e-08,3.707401958557889760e-02
7.019056046375185056e-08,9.577577837056906499e-08,2.022110656692491565e-08,3.563083846592432084e-08,1.168745898752642232e-01
1.276966920271766792e-06,1.937112708600323685e-07,2.234418446879939152e-08,1.387614309620088081e-08,2.352827148728281470e-03
1.056948279925807543e-06,2.252504115376586009e-07,1.960933139118784991e-08,1.887626395151318169e-08,4.893058356686440236e-02
1.490998495426044593e-06,2.225856904439051779e-08,7.863272141406298754e-10,3.212770905655621596e-08,2.353130184722344587e-01
4.730587900851618376e-07,3.480637819719895361e-08,9.037560205154536310e-09,3.103902693657190598e-08,1.628380633102056996e-01
1.062832665106935820e-06,3.189196701285159221e-08,1.560344005093006829e-08,1.534144648129411438e-08,1.721296489824191700e-01
