3.579498202881602979e-05,5.657009707533345233e-04,8.695425696213238001e-05,1.082765751490710472e-04,2.788467386588220622e-04,3.319521933379640153e-04,5.962597808803568209e-04,9.941215593023149388e-01
5.671868349293529912e-05,8.167444384676120434e-04,1.457799626214917289e-04,8.634069511608533608e-04,5.589518088214925109e-05,5.537613798296962050e-05,4.326017657178737787e-04,3.185741008616660985e-01
6.957160784754453037e-05,1.124906427484754145e-03,1.909440196284073184e-04,2.654253904573958137e-04,2.110202546542558417e-05,3.198474290130966973e-04,1.509129370744131634e-04,6.148161346156698626e-01
2.330299115441503231e-04,1.767685436355968787e-05,1.866664251564557680e-04,4.851506200466531834e-04,1.061607114110870061e-03,2.199266544260550758e-05,6.957963209178042569e-05,5.730880692468910409e-01
4.928594103242688170e-05,9.974948695301317364e-04,9.511860326400554228e-05,3.693698361032832678e-04,6.808227782769006977e-04,1.000390490177891314e-04,8.239003126951894261e-04,5.142648277593943051e-01
1.651820747046337196e-04,1.026238141706994293e-04,1.466592989169813565e-04,1.063567408933365323e-04,1.510917974734033472e-04,2.851153104814826023e-04,1.220660845931029583e-03,6.363762829687658051e-01
9.646029232586328535e-05,3.174906176653333472e-04,4.296413016955265816e-07,6.490911051746663628e-04,1.132923034540145139e-03,1.073439755060623407e-05,2.090351624114277027e-03,5.497849850665295079e-01
4.359128327447637706e-06,1.139360685969940208e-03,6.737895445408364364e-05,1.745857199510164430e-04,8.190775180660409991e-04,3.621334213876390128e-05,8.552073374118321705e-04,5.978978213630802285e-01
1.567800578097582756e-05,5.246526066735176467e-04,2.686251154029420146e-05,2.703999721825907756e-04,5.047079779160943119e-04,5.010512362214300823e-05,4.367461280760573644e-04,9.003448535018353516e-01
7.071567846858612544e-05,3.215517612451436339e-04,1.217371115009595241e-04,4.002862556916306517e-04,2.284822813721460811e-04,6.002098981892978663e-05,7.068002254967271350e-04,5.370776627524973534e-01
4.264934177084851079e-05,8.887346153364307543e-04,2.133358520928547064e-05,4.466841761323934817e-04,3.586753907183638356e-04,1.369484186643949450e-04,1.063238755198951321e-03,8.709995845390832159e-01
1.020854084307769880e-04,7.148899812578388916e-04,8.674963711661108501e-06,1.043256179085846522e-04,6.379335301221453246e-04,2.856104297384344515e-04,1.561734188176820432e-04,6.004220804838218406e-01
